state,year,urate,children,nonwhite,finc,earn,age,ed,work,unearn
11,1991,7.5999999,0,1,18714.394273,18714.394273,26,10,1,0
12,1991,7.1999998,1,0,4838.5682819,471.36563877,22,9,1,4.367202643200001
13,1991,6.4000001,2,0,8178.1938326,0,33,11,0,8.1781938326
14,1991,9.1000004,0,1,9369.570484600001,0,43,11,0,9.369570484600001
15,1991,8.6000004,3,1,14706.60793,14706.60793,23,7,1,0
16,1991,6.8000002,1,0,21605.044053,18854.625551,53,7,1,2.7504185022
21,1991,7.3000002,0,1,19146.872247,14140.969163,52,11,1,5.0059030837
22,1991,6.6999998,0,1,64311.949339,63802.874449,51,11,1,.50907488987
23,1991,7,1,1,17676.211454,17676.211454,20,11,1,0
31,1991,6.4000001,2,1,12214.262115,2358.0066079,32,11,1,9.8562555066
32,1991,6,0,0,47475.947137,47136.563877,51,9,1,.33938325991
33,1991,7.1999998,2,0,12962.555066,4713.6563877,29,10,1,8.248898678400002
34,1991,9.3000002,0,0,7070.4845815,0,54,9,0,7.0704845815
35,1991,5.5,0,0,0,0,28,11,0,0
41,1991,5.0999999,0,1,3605.9471366,0,27,11,0,3.6059471366
42,1991,4.5999999,1,0,6223.2048458,0,37,7,0,6.2232048458
43,1991,6.6999998,1,0,15814.317181,0,41,10,0,15.814317181
44,1991,4.3000002,0,0,21211.453744,21211.453744,45,9,1,0
45,1991,3.5999999,0,0,13858.14978,10558.590308,51,7,1,3.2995594714
46,1991,2.8,0,0,5038.8986784,5038.8986784,43,10,1,0
47,1991,4.5,1,0,5185.0220264,2356.8281938,24,11,1,2.8281938326
51,1991,6.3000002,1,0,0,0,24,11,0,0
52,1991,6,3,0,7056.3436123,0,38,9,0,7.0563436123
53,1991,7.8000002,2,1,23488.14978,21918.502203,38,10,1,1.5696475771
54,1991,5.9000001,4,1,5797.7973568,0,26,11,0,5.797797356799999
55,1991,10.6,1,0,13845.187225,7924.8348018,46,9,1,5.920352422900001
56,1991,5.8000002,1,1,15319.38326,15319.38326,41,11,1,0
57,1991,6.3000002,1,1,2743.3480176,0,20,11,0,2.7433480176
58,1991,5,1,1,15114.339207,14494.493392,37,11,1,.61984581498
59,1991,7.4000001,0,0,16497.797357,16497.797357,46,11,1,0
61,1991,7.5,2,0,3224.1409692,0,46,7,0,3.2241409692
62,1991,6.6999998,0,1,20992.268722,20033.039648,53,3,0,.95922907489
63,1991,7.1999998,2,1,11312.77533,8955.9471366,42,11,1,2.3568281938
64,1991,8.6999998,0,0,14169.251101,14140.969163,36,11,1,.028281938326
71,1991,7.4000001,1,0,4963.4801762,3087.4449339,45,7,1,1.8760352423
72,1991,7.1999998,0,1,4713.6563877,3299.5594714,39,11,1,1.4140969163
73,1991,6.6999998,0,1,1343.3920705,0,41,7,0,1.3433920705
74,1991,6.6999998,0,1,3588.2709251,3588.2709251,52,0,1,0
81,1991,7.0999999,2,0,13886.431718,0,33,9,0,13.886431718
82,1991,6.1999998,0,1,33409.218062,32288.546256,50,7,1,1.1206718062
83,1991,5.1999998,1,1,4619.3832599,2356.8281938,49,9,1,2.2625550661
84,1991,5.0999999,0,0,23568.281938,23568.281938,51,0,1,0
85,1991,7.0999999,0,1,0,0,27,11,0,0
86,1991,5.8000002,0,1,10900.330396,0,54,7,0,10.900330396
87,1991,5,3,1,6881.938326,0,21,10,0,6.881938326
88,1991,5.5999999,0,0,824.88986784,824.88986784,34,11,1,0
91,1991,6.4000001,0,0,8390.308370000001,4713.6563877,54,9,1,3.6766519824
92,1991,6.0999999,3,0,8343.1718062,0,31,11,0,8.343171806200001
93,1991,7.6999998,1,1,7466.4317181,0,46,7,0,7.4664317181
94,1991,8.6999998,0,0,31784.185022,353.52422907,45,7,0,31.430660793
95,1991,2.8,0,0,9193.9867841,9191.6299559,45,3,1,.0023568281938
11,1992,7.1999998,0,0,19459.052031,19447.612259,32,11,1,.011439771917
12,1992,7.5,1,0,0,0,27,10,0,0
13,1992,6.6999998,2,0,68779.34069899999,68753.02922300001,43,9,1,.02631147541
14,1992,8.6000004,3,0,2070.598717,2059.1589451,31,7,1,.011439771917
15,1992,9,2,0,24463.952245,20339.914469,35,10,1,4.1240377762
16,1992,7.5999999,0,0,36804.034212,32603.349964,52,10,1,4.200684248
21,1992,8.6000004,0,1,11105.730577,0,22,11,0,11.105730577
22,1992,8.5,0,1,31739.647185,25049.668567,47,7,0,6.6899786172
23,1992,7.5999999,2,0,39471.789024,24481.111903,41,7,1,14.99067712
31,1992,7.3000002,1,0,11439.771917,11439.771917,27,9,1,0
32,1992,6.5999999,0,0,49733.264433,49733.264433,25,11,1,0
33,1992,7.5999999,0,1,21689.807555,21689.807555,24,11,1,0
34,1992,8.8999996,0,0,4475.2387741,0,21,11,0,4.4752387741
35,1992,5.1999998,1,1,25626.233072,0,52,9,0,25.626233072
41,1992,5.1999998,0,1,276.8424804,203.62794013,23,11,1,.073214540271
42,1992,4.6999998,0,0,17852.908054,6406.2722737,46,3,1,11.44663578
43,1992,5.6999998,2,0,4919.1019244,4575.9087669,24,10,1,.34319315752
44,1992,5.0999999,3,0,7398.1004989,1415.0997862,34,10,1,5.9830007128
45,1992,3.2,1,1,33203.93799,30887.384177,31,10,1,2.3165538133
46,1992,3,0,0,1439.1233072,0,32,0,0,1.4391233072
47,1992,4.3000002,0,0,12953.253742,0,49,7,0,12.953253742
51,1992,5.3000002,0,0,17605.808981,13899.32288,46,11,1,3.7064861012
52,1992,6.6999998,1,1,60001.603706,54453.314326,34,0,0,5.5482893799
53,1992,8.6000004,3,1,4392.8724163,0,21,10,0,4.392872416299999
54,1992,6.4000001,1,0,0,0,32,10,0,0
55,1992,11.4,3,0,0,0,36,11,0,0
